Apostle Islands National Lakeshore,backcountry camping 
Apostle Islands National Lakeshore,car camping
Amnicon Falls State Park,"car camping
"
Big Bay State Park,car camping
Big Foot Beach State Park,car camping
Blue Mounds State Park,car camping 
Blue Mounds State Park,backcountry camping 
Blue Mounds State Park,cabin camping 
Apostle Islands National Lakeshore,fishing
Apostle Islands National Lakeshore,kayak camping
Aztalan State Park,fishing
Belmont Mound State Park,DUMMY
Big Bay State Park,fishing
Brunet Island State Park,car camping
Brunet Island State Park,fishing
Buckhorn State Park,car camping
Buckhorn State Park,accessible cabin
Buckhorn State Park,fishing 
Cadiz Springs State Recreation Area,fishing 
Capital Springs State Recreation Area,car camping 
Capital Springs State Recreation Area,fishing 
Copper Culture State Park,fishing 
Copper Falls State Park,backcountry camping 
Copper Falls State Park,car camping 
Copper Falls State Park,accessible cabin
Copper Falls State Park,fishing 
Council Grounds State Park,car camping 
Council Grounds State Park,fishing 
Devil's Lake State Park,car camping 
Devil's Lake State Park,fishing 
Fischer Creek State Recreation Area,fishing 
Governor Dodge State Park,car camping 
Governor Dodge State Park,backcountry camping 
Governor Dodge State Park,horse campground 
Governor Nelson State Park,fishing 
Governor Thompson State Park,car camping 
Governor Thompson State Park,canoe campsite 
Governor Thompson State Park,backcountry camping 
Governor Thompson State Park,fishing 
Harrington Beach State Park,car camping 
Harrington Beach State Park,kayak campsite 
Harrington Beach State Park,fishing 
Hartman Creek State Park,car camping 
Hartman Creek State Park,fishing 
Heritage Hill State Historical Park,historical town 
High Cliff State Park,car camping 
High Cliff State Park,accessible cabin
High Cliff State Park,fishing 
Hoffman Hills State Recreation Area,youth group camping 
Interstate State Park,car camping 
Interstate State Park,fishing 
Kinnickinnic State Park,fishing
Kohler-Andrae State Park,car camping 
Kohler-Andrae State Park,accessible cabin
Kohler-Andrae State Park,fishing
Lake Kegonsa State Park,car camping
Lake Kegonsa State Park,fishing
Lake Wissota State Park,car camping
Lake Wissota State Park,fishing
Lakeshore State Park,fishing
Merrick State Park,car camping
Merrick State Park,fishing
Mill Bluff State Park,car camping
Mirror Lake State Park,car cabin
Mirror Lake State Park,accessible cabin
Mirror Lake State Park,rental cabin
Mirror Lake State Park,fishing
Natural Bridge State Park,DUMMY
Nelson Dewey State Park,car camping
New Glarus Woods State Park,car camping
Newport State Park,backcountry camping
Newport State Park,fishing
Pattison State Park,car camping
Pattison State Park,backcountry camping
Pattison State Park,fishing
Peninsula State Park,car camping 
Peninsula State Park,fishing
Perrot State Park,car camping
Perrot State Park,fishing
Potawatomi State Park,car camping
Potawatomi State Park,accessible cabin
Potawatomi State Park,fishing
Rib Mountain State Park,DUMMY
Richard Bong State Recreation Area,car camping
Richard Bong State Recreation Area,accessible cabin
Richard Bong State Recreation Area,fishing
Roche-a-Cri State Park,car camping 
Roche-a-Cri State Park,fishing
Rock Island State Park,car camping
Rock Island State Park,fishing
Rocky Arbor State Park,car camping
Straight Lake State Park,fishing
Tower Hill State Park,car camping
Tower Hill State Park,fishing
Whitefish Dunes State Park ,fishing
Wildcat Mountain State Park,car camping 
Wildcat Mountain State Park,horse campground
Wildcat Mountain State Park,canoe campsite
Wildcat Mountain State Park,fishing
Wyalusing State Park,car camping
Wyalusing State Park,fishing
Yellowstone Lake State Park,fishing
Yellowstone Lake State Park,car camping
Ableman's Gorge State Natural Area,fishing
Adiantum Woods,fishing
Northern Highland American Legion State Forest,car camping
Northern Highland American Legion State Forest,backcountry camping
Northern Highland American Legion State Forest,fishing
Northern Highland American Legion State Forest,canoe camping
Northern Highland American Legion State Forest,kayak camping
Alvin Creek Headwaters,fishing
Chequamegon National Forest (Washburn),car camping
Chequamegon National Forest (Washburn),fishing
Chequamegon National Forest (Washburn),horse campsite
Chequamegon National Forest (Great Divide),car camping
Chequamegon National Forest (Great Divide),backcountry camping
Chequamegon National Forest (Great Divide),fishing
"Chequamegon National Forest (Medford-Park Falls, Medford Landbase)",fishing
"Chequamegon National Forest (Medford-Park Falls, Medford Landbase)",car camping
"Chequamegon National Forest (Medford-Park Falls, Park Falls Landbase)",fishing
"Chequamegon National Forest (Medford-Park Falls, Park Falls Landbase)",rental cabin
"Chequamegon National Forest (Medford-Park Falls, Park Falls Landbase)",backcountry camping
"Chequamegon National Forest (Medford-Park Falls, Park Falls Landbase)",horse campground
Aztalan State Park,fishing
Aztalan State Park,historical site
Belmont Mound State Park,small park
"Nicolet National Forest (Eagle River- Florence, Florence Landbase)",fishing
"Nicolet National Forest (Eagle River- Florence, Florence Landbase)",car camping
"Nicolet National Forest (Eagle River- Florence, Florence Landbase)","backcountry camping 
"
"Nicolet National Forest (Lakewood-Laona, Laona Landbase)",car camping
"Nicolet National Forest (Lakewood-Laona, Laona Landbase)",fishing
"Nicolet National Forest (Lakewood-Laona, Lakewood Landbase)",fishing
"Nicolet National Forest (Lakewood-Laona, Lakewood Landbase)",car camping
Apple River Canyon State Natural Area,car camping
Apple River Canyon State Natural Area,fishing
Black River State Forest,fishing
Black River State Forest,car camping
Black River State Forest,backcountry camping
Arena Pines and Sand Barrens,DUMMY
Audubon Goose Pond,fishing
Avoca Prairie and Savanna,fishing
Avon Bottoms Wildlife Area,fishing
Baileys Harbor Boreal Forest and Wetlands State Natural Area,fishing
Bark Bay Slough State Natural Area,fishing
Flambeau River State Forest,fishing
Flambeau River State Forest,car camping
Flambeau River State Forest,canoe camping
Flambeau River State Forest,backcountry camping
Lake Mills Wildlife Area ,fishing
Lake Mills Wildlife Area ,car camping
Brule River State Forest,car camping
Brule River State Forest,fishing
Brule River State Forest,backcountry camping
Coulee Experimental State Forest,hunting
